Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,262,0,260.0,414.14781567175544,19.725131000001284,1727.4563520000042,10883.70610687023,1.4649770198710346,0.0,260,350,430,550,1100,1300,1600,1600,1700,1700,1700
GET,/cart,470,0,150.0,175.2134089446813,16.758724999988317,710.0628950000072,13083.502127659574,2.628012211219031,0.0,150,190,210,240,300,370,500,590,710,710,710
POST,/cart,465,0,210.0,246.2944755247301,19.40896700000394,1002.035066000019,17879.74193548387,2.6000546345039353,0.0,210,290,300,310,400,470,700,890,1000,1000,1000
POST,/cart/checkout,150,0,120.0,170.61688528666477,24.680545999999026,589.4104030000022,6987.58,0.8387273014528823,0.0,130,200,200,210,290,310,410,500,590,590,590
GET,/product/0PUK6V6EV0,222,0,150.0,172.4132746441439,14.688226000004079,798.7722149999996,8191.495495495496,1.241316406150266,0.0,150,180,200,210,260,290,440,630,800,800,800
GET,/product/1YMWWN1N4O,219,0,150.0,178.5749973607314,15.593960000018114,865.8552429999986,8209.009132420091,1.2245418601212081,0.0,150,180,200,240,300,410,550,610,870,870,870
GET,/product/2ZYFJ3GM2N,230,0,150.0,157.24219716086972,14.041103000010935,601.6636879999879,8205.186956521738,1.2860485288944197,0.0,150,180,200,210,250,290,390,420,600,600,600
GET,/product/66VCHSJNUP,234,0,150.0,161.14710271367528,14.710918999981004,504.8353720000023,8170.504273504273,1.3084145902664965,0.0,150,180,200,220,270,300,380,400,500,500,500
GET,/product/6E92ZMYYFZ,214,0,160.0,176.78933492056098,13.447240999994392,777.723997999999,8158.308411214954,1.1965842834061122,0.0,160,190,220,230,290,370,420,490,780,780,780
GET,/product/9SIQT8TOJO,222,0,150.0,162.4257046576581,14.968664999997827,746.5988899999871,8210.747747747748,1.241316406150266,0.0,150,180,190,210,270,320,420,470,750,750,750
GET,/product/L9ECAV7KIM,253,0,160.0,176.33444443478322,19.827725999988388,767.7635409999652,8177.355731225296,1.4146533817838616,0.0,160,180,210,240,270,340,490,650,770,770,770
GET,/product/LS4PSXUNUM,230,0,160.0,178.60031672608608,14.46562999998946,904.8554270000011,8177.304347826087,1.2860485288944197,0.0,160,190,210,230,280,340,590,740,900,900,900
GET,/product/OLJCESPC7Z,238,0,160.0,187.40063355041957,17.025239999981068,812.6814750000051,8211.64705882353,1.3307806516385734,0.0,160,190,210,240,300,410,590,800,810,810,810
POST,/setCurrency,374,0,220.0,280.27990254545375,22.708804999979293,1775.3276659999956,10907.318181818182,2.0912267382891865,0.0,220,280,310,330,450,800,1200,1300,1800,1800,1800
,Aggregated,3783,0,170.0,209.15739844832146,13.447240999994392,1775.3276659999956,10396.614855934444,21.15270254264169,0.0,170,200,250,270,340,440,800,1100,1600,1800,1800
GET,/,251,0,260.0,486.5181019482069,22.61842499999034,1830.807041,10882.876494023905,1.403302793476967,0.0,260,360,730,1000,1200,1300,1700,1800,1800,1800,1800
GET,/cart,509,0,160.0,177.1173483614924,13.783197000009295,631.6641269999934,13359.752455795679,2.8457415214333714,0.0,160,190,220,250,290,360,410,510,630,630,630
POST,/cart,480,0,210.0,232.78024584166604,24.619061999999303,800.7547420000094,17822.335416666665,2.6836069357328456,0.0,210,280,300,300,390,410,600,700,800,800,800
POST,/cart/checkout,141,0,170.0,163.3021322198572,23.122611999980336,691.0166950000018,6985.765957446809,0.7883095373715233,0.0,170,190,200,200,280,300,310,390,690,690,690
GET,/product/0PUK6V6EV0,213,0,160.0,170.53343982159453,14.80123400000366,729.9250669999964,8185.934272300469,1.1908505777314502,0.0,160,190,200,230,270,310,550,610,730,730,730
GET,/product/1YMWWN1N4O,227,0,150.0,170.1857572422912,15.842241999990847,693.0935970000007,8212.022026431718,1.2691224466903248,0.0,150,180,200,230,280,380,500,600,690,690,690
GET,/product/2ZYFJ3GM2N,221,0,150.0,172.2444682217198,17.63651400000299,772.9311470000084,8204.366515837104,1.2355773599936644,0.0,150,180,210,230,270,370,560,600,770,770,770
