Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1736476587,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736476588,10,,Aggregated,0.000000,0.000000,140,140,180,180,180,190,240,240,240,240,240,22,0,140.0,141.4577091818178,91.15236200000254,237.18509299999369,9997.09090909091
1736476589,20,,Aggregated,0.000000,0.000000,140,180,240,250,250,300,310,310,310,310,310,44,0,140.0,159.55211784090875,15.8098170000045,308.63424199999656,9890.227272727272
1736476590,30,,Aggregated,22.000000,0.000000,190,240,250,250,300,300,310,380,380,380,380,69,0,190.0,191.04822494202838,15.8098170000045,377.85446200000194,10034.289855072464
1736476591,40,,Aggregated,22.000000,0.000000,200,250,250,290,360,430,430,440,440,440,440,93,0,200.0,210.65956421505294,15.8098170000045,437.89939699999536,9983.569892473119
1736476592,50,,Aggregated,22.666667,0.000000,200,250,280,300,350,430,430,430,440,440,440,118,0,200.0,215.18800993220313,15.8098170000045,437.89939699999536,9954.0
1736476593,60,,Aggregated,22.500000,0.000000,230,280,300,350,430,550,630,630,640,640,640,142,0,210.0,248.46301147183075,15.8098170000045,641.1787119999985,9879.014084507042
1736476594,70,,Aggregated,23.400000,0.000000,250,300,340,360,500,630,840,930,940,940,940,154,0,240.0,273.44624569480493,15.8098170000045,941.3745199999966,10000.22077922078
1736476595,80,,Aggregated,22.166667,0.000000,260,340,400,430,630,930,1000,1100,1100,1100,1100,183,0,260.0,324.4650571202184,15.8098170000045,1124.6128809999902,10125.95081967213
1736476596,90,,Aggregated,22.166667,0.000000,300,390,430,500,930,1100,1100,1100,1200,1200,1200,210,0,300.0,376.69315953333296,15.8098170000045,1235.133660999992,10040.042857142857
1736476597,100,,Aggregated,21.875000,0.000000,310,410,510,630,1100,1200,1300,1300,1300,1300,1300,233,0,310.0,438.58865564377624,15.8098170000045,1334.8221029999934,10013.587982832618
1736476598,100,,Aggregated,23.333333,0.000000,350,470,630,900,1200,1300,1600,1600,1800,1800,1800,258,0,350.0,504.4326419069761,15.8098170000045,1775.3276659999956,10002.426356589147
1736476599,100,,Aggregated,22.800000,0.000000,400,550,710,890,1100,1300,1600,1600,1800,1800,1800,289,0,400.0,522.0278290588228,15.8098170000045,1775.3276659999956,9943.678200692042
1736476600,100,,Aggregated,23.100000,0.000000,410,570,750,880,1100,1300,1600,1600,1800,1800,1800,312,0,410.0,533.8766998814098,15.8098170000045,1775.3276659999956,9995.403846153846
1736476601,100,,Aggregated,23.500000,0.000000,410,550,710,800,1100,1300,1600,1600,1800,1800,1800,332,0,410.0,524.1974761897586,15.8098170000045,1775.3276659999956,10017.397590361446
1736476602,100,,Aggregated,23.800000,0.000000,400,550,660,800,1100,1300,1600,1600,1800,1800,1800,348,0,400.0,515.3806526091951,15.8098170000045,1775.3276659999956,10004.698275862069
1736476603,100,,Aggregated,23.800000,0.000000,390,520,650,800,1100,1300,1600,1600,1800,1800,1800,364,0,390.0,499.0538676346149,15.8098170000045,1775.3276659999956,10063.763736263736
1736476604,100,,Aggregated,22.500000,0.000000,360,500,630,760,1100,1300,1600,1600,1800,1800,1800,390,0,350.0,476.0525089512816,15.8098170000045,1775.3276659999956,10060.812820512821
1736476605,100,,Aggregated,22.600000,0.000000,340,470,600,710,1000,1300,1500,1600,1800,1800,1800,416,0,340.0,459.6628847259611,15.8098170000045,1775.3276659999956,10066.685096153846
1736476606,100,,Aggregated,23.400000,0.000000,310,440,580,650,1000,1300,1500,1600,1800,1800,1800,444,0,310.0,437.1333106418915,15.8098170000045,1775.3276659999956,10007.693693693695
1736476607,100,,Aggregated,23.600000,0.000000,300,430,550,630,1000,1200,1500,1600,1800,1800,1800,463,0,300.0,423.87000861771025,15.8098170000045,1775.3276659999956,10001.913606911447
1736476608,100,,Aggregated,22.300000,0.000000,290,410,550,630,1000,1200,1500,1600,1800,1800,1800,477,0,290.0,417.18615057442315,15.8098170000045,1775.3276659999956,10009.234800838574
1736476609,100,,Aggregated,23.000000,0.000000,280,400,510,610,980,1200,1500,1600,1800,1800,1800,506,0,280.0,403.0350510474305,15.8098170000045,1775.3276659999956,10023.084980237154
1736476610,100,,Aggregated,21.800000,0.000000,260,390,500,600,940,1200,1500,1600,1800,1800,1800,528,0,260.0,393.7357146041664,15.8098170000045,1775.3276659999956,10011.492424242424
1736476611,100,,Aggregated,22.100000,0.000000,250,370,480,580,910,1200,1500,1600,1800,1800,1800,558,0,250.0,383.94564031361966,15.8098170000045,1775.3276659999956,10065.206093189965
1736476612,100,,Aggregated,21.300000,0.000000,250,360,460,550,910,1200,1500,1600,1800,1800,1800,578,0,250.0,377.89755996885765,15.8098170000045,1775.3276659999956,10061.429065743945
1736476613,100,,Aggregated,21.800000,0.000000,250,350,440,550,900,1200,1500,1600,1800,1800,1800,596,0,250.0,370.1777248540264,15.8098170000045,1775.3276659999956,10066.854026845638
1736476614,100,,Aggregated,22.900000,0.000000,240,340,430,510,880,1100,1400,1600,1800,1800,1800,622,0,240.0,361.47000534405095,15.8098170000045,1775.3276659999956,10082.445337620578
1736476615,100,,Aggregated,23.000000,0.000000,230,320,420,510,810,1100,1400,1600,1800,1800,1800,642,0,220.0,354.31428037383137,15.8098170000045,1775.3276659999956,10063.86292834891
1736476616,100,,Aggregated,22.400000,0.000000,210,310,410,500,800,1100,1300,1600,1800,1800,1800,661,0,210.0,347.918148673222,15.8098170000045,1775.3276659999956,10051.957639939486
1736476617,100,,Aggregated,22.200000,0.000000,210,310,410,490,800,1100,1300,1600,1800,1800,1800,674,0,210.0,343.25536304599376,15.8098170000045,1775.3276659999956,10047.072700296736
1736476618,100,,Aggregated,22.100000,0.000000,210,310,400,490,800,1100,1300,1600,1800,1800,1800,689,0,210.0,340.23988318867896,15.8098170000045,1775.3276659999956,10063.632801161102
1736476619,100,,Aggregated,20.900000,0.000000,210,300,390,460,800,1100,1300,1600,1800,1800,1800,717,0,210.0,336.2997176331937,15.8098170000045,1775.3276659999956,10025.223152022316
1736476620,100,,Aggregated,21.100000,0.000000,210,300,390,440,790,1100,1300,1600,1800,1800,1800,741,0,210.0,333.7976172402156,15.8098170000045,1775.3276659999956,10062.334682861
1736476621,100,,Aggregated,20.500000,0.000000,210,290,380,440,780,1100,1300,1600,1800,1800,1800,760,0,210.0,330.036702986842,15.8098170000045,1775.3276659999956,10078.868421052632
1736476622,100,,Aggregated,21.200000,0.000000,210,290,370,430,750,1100,1300,1600,1800,1800,1800,782,0,210.0,324.1783176905369,15.8098170000045,1775.3276659999956,10078.042199488491
1736476623,100,,Aggregated,20.900000,0.000000,200,290,360,420,740,1100,1300,1500,1800,1800,1800,804,0,200.0,320.0267699552238,15.8098170000045,1775.3276659999956,10078.230099502487
1736476624,100,,Aggregated,20.100000,0.000000,210,290,350,410,710,1000,1300,1500,1800,1800,1800,821,0,210.0,318.00242870645553,15.8098170000045,1775.3276659999956,10081.570036540805
1736476625,100,,Aggregated,20.600000,0.000000,200,280,350,410,710,1000,1300,1500,1800,1800,1800,839,0,200.0,313.2407611918953,15.507842999994637,1775.3276659999956,10103.292014302742
1736476626,100,,Aggregated,20.500000,0.000000,200,280,340,410,670,1000,1300,1500,1800,1800,1800,860,0,200.0,309.3037669662791,15.507842999994637,1775.3276659999956,10106.151162790698
1736476627,100,,Aggregated,20.100000,0.000000,200,270,340,400,650,1000,1300,1500,1800,1800,1800,882,0,200.0,306.4421668548754,15.507842999994637,1775.3276659999956,10112.458049886622
1736476628,100,,Aggregated,19.200000,0.000000,200,270,330,400,650,1000,1300,1500,1800,1800,1800,904,0,200.0,302.83639137389406,15.507842999994637,1775.3276659999956,10085.841814159292
1736476629,100,,Aggregated,20.700000,0.000000,200,270,320,390,630,1000,1300,1500,1800,1800,1800,923,0,200.0,300.17641181148457,15.507842999994637,1775.3276659999956,10106.527627302276
1736476630,100,,Aggregated,21.600000,0.000000,200,260,310,380,630,1000,1300,1500,1800,1800,1800,941,0,200.0,296.9643566801274,15.507842999994637,1775.3276659999956,10093.842720510096
1736476631,100,,Aggregated,21.000000,0.000000,190,260,310,380,630,1000,1300,1500,1800,1800,1800,960,0,190.0,293.43154312291676,15.507842999994637,1775.3276659999956,10094.382291666667
1736476632,100,,Aggregated,20.700000,0.000000,190,250,310,370,630,990,1300,1500,1800,1800,1800,980,0,190.0,290.26100325816327,15.507842999994637,1775.3276659999956,10083.929591836735
1736476633,100,,Aggregated,19.400000,0.000000,190,250,300,360,610,980,1300,1500,1800,1800,1800,997,0,190.0,287.3589665887663,15.507842999994637,1775.3276659999956,10112.286860581746
1736476634,100,,Aggregated,19.900000,0.000000,190,250,300,360,610,980,1300,1500,1700,1800,1800,1020,0,190.0,285.21861904313744,15.507842999994637,1775.3276659999956,10120.073529411764
